Minimum properties of selected steels,Sut (MPa),Sut (ksi),Sy (MPa),Sy (ksi)
G10060 1006 HR,300,43,170,24
G10060 1006 CD,330,48,280,41
G10100 1010 HR,320,47,180,26
G10100 1010 CD,370,53,300,44
G10150 1015 HR,340,50,190,27.5
G10150 1015 CD,390,56,320,47
G10180 1018 HR,400,58,220,32
G10180 1018 CD,440,64,370,54
G10200 1020 HR,380,55,210,30
G10200 1020 CD,470,68,390,57
G10300 1030 HR,470,68,260,37.5
G10300 1030 CD,520,76,440,64
G10350 1035 HR,500,72,270,39.5
G10350 1035 CD,550,80,460,67
G10400 1040 HR,520,76,290,42
G10400 1040 CD,590,85,490,71
G10450 1045 HR,570,82,310,45
G10450 1045 CD,630,91,530,77
G10500 1050 HR,620,90,340,49.5
G10500 1050 CD,690,100,580,84
G10600 1060 HR,680,98,370,54
G10800 1080 HR,770,112,420,61.5
G10950 1095 HR,830,120,460,66
,,,,
Gray Cast Iron,Sut (MPa),Sut (ksi),Sy (MPa),Sy (ksi)
20 Gray Cast Iron,,22,,
25 Gray Cast Iron,,26,,
30 Gray Cast Iron,,31,,
35 Gray Cast Iron,,36.5,,
40 Gray Cast Iron,,42.5,,
50 Gray Cast Iron,,52.5,,
60 Gray Cast Iron,,62.5,,